tconst,primaryTitle,startYear
tt0041079,1848,1950
tt0041318,Drums for a Holiday,1950
tt0042015,Vaticano,1951
tt0042228,Barcelona es bona,1950
tt0042259,Blaze Busters,1950
tt0042430,Eduardo Rosales,1950
tt0042457,Fiestas del Corpus (Toledo),1950
tt0042458,Fifty Acres,1950
tt0042460,The Fight: Science Against Cancer,1950
tt0042489,The Funicular of Mount Faloria,1950
tt0042528,Guernica,1951
tt0042603,Ise Island,1950
tt0042612,Jardines y palmeras,1950
tt0042620,Los juanelos,1950
tt0042635,We Took Over the Cause of Peace,1950
tt0042764,El museo taurino de Valencia,1950
tt0042838,Pen Point Percussion,1951
tt0042890,The Riddle of Japan,1950
tt0042990,Mirror of Holland,1950
tt0042996,The Stairs,1950
tt0043107,La villa dei mostri,1950
tt0043135,Why Korea?,1951
tt0043256,Las abejas,1951
tt0043294,Appunti su un fatto di cronaca,1953
tt0043314,Balleneros,1951
tt0043346,Blancos mercedarios,1951
tt0043374,Campos y minas,1951
tt0043422,Colonia penitenciaria del Dueso,1951
tt0043431,El correo de Dios,1951
tt0043447,Danger Under the Sea,1951
tt0043496,El Greco en Toledo,1951
tt0043530,Fiesta en Ifni,1951
tt0043548,Flying Padre,1951
tt0043683,Jaimas,1951
tt0043788,Marruecos en la paz,1951
tt0043845,Medieval Dutch Sculpture,1951
tt0043867,Nuevo arte cristiano,1951
tt0043883,One Who Came Back,1951
tt0043894,Painel,1951
tt0043905,La pascua del cordero,1951
tt0043931,Power for All,1951
tt0044017,The Seeing Eye,1951
tt0044033,Sidi Ifni,1951
tt0044058,Soldados de Marruecos,1951
tt0044114,El territorio de Ifni,1951
tt0044130,Tierras recobradas,1951
tt0044218,World of Kids,1951
tt0044494,Channel Islands,1952
tt0044523,Cruise of the Zaca,1952
tt0044534,Deep Sea Fishing,1952
tt0044550,The Dike Builders,1952
tt0044590,Epeira Diadema,1952
tt0044713,The Hoaxters,1952
tt0044717,Hollywood Fun Festival,1952
tt0044757,The Island,1952
tt0045113,"Saint-Tropez, devoir de vacances",1952
tt0045130,The Seafarers,1953
tt0045308,Wakefield Express,1957
tt0045639,A Communications Primer,1953
tt0045974,Ordinary Ways,1953
tt0046007,The Living City,1953
tt0046025,Magic Movie Moments,1953
tt0046146,Operation Blue Jay,1953
tt0046220,Quatorze juillet,1953
tt0046282,Scotch Hop,1953
tt0046357,The Square Mile,1953
tt0046365,Statues also Die,1953
tt0046420,They Planted a Stone,1953
tt0046506,Vesuvius Express,1953
tt0046537,Wee Water Wonders,1953
tt0046554,Winter Paradise,1953
tt0046559,The Word,1953
tt0046726,Assignment Children,1955
tt0046952,The Health-giving Waters of Tisza,1954
tt0047131,Jet Carrier,1954
tt0047147,Portraits of an Exhibition,1954
tt0047306,Operation Concrete,1958
tt0047404,Rembrandt: A Self-Portrait,1954
tt0047485,Siam,1954
tt0047521,Stampede City,1955
tt0047530,The Stratford Adventure,1954
tt0047585,Thursday's Children,1954
tt0047833,The Youth of the Land of Angels,1955
tt0047883,Black Cats and Broomsticks,1955
tt0047920,Carioca Carnival,1955
tt0047931,The Challenge of Ideas,1961
tt0048032,"Young People, Remember",1955
tt0048049,The Face of Lincoln,1956
tt0048107,Game Warden,1955
tt0048125,God Shiva,1955
tt0048128,Golden Glamour,1955
tt0048180,House: After Five Years of Living,1955
tt0048305,The Living Swamp,1955
tt0048568,Rowlandson's England,1955
tt0048632,Et slot i et slot: Krogen og Kronborg,1954
tt0048669,Strijd zonder einde,1955
tt0048677,Survival City,1955
tt0048928,Adventure in Capri,1958
tt0049064,Chasing the Sun,1957
tt0049081,A City Decides,1956
tt0049124,The Dark Wave,1956
tt0049168,Eames Lounge Chair,1956
tt0049304,"Her Honor, the Nurse",1956
tt0049324,Les hommes de la baleine,1956
tt0049338,The House Without a Name,1956
tt0049620,The Artist and the City,1956
tt0049885,The True Story of the Civil War,1957
tt0050370,Every Day Except Christmas,1957
tt0050559,Jazz im Kreml,1957
tt0050623,Lapland,1957
